"Abriachan, Inverness, Inverness-shire, IV3 8LB"
"Loch Trool, Glentrool, Wigtownshire, DG8"
"Broadford, Isle of Skye, Isle of Skye, IV49"
"Brindley Heath Road, Cannock, Staffordshire, WS12 4PW"
"Bowness-on-Solway, Wigton, Cumbria, CA7 5AF"
"Carding Mill, Church Stretton, Shropshire, SY6"
"Fletchersbridge, Bodmin, Cornwall, PL30 4AL"
"Zennor, Penzance, Cornwall, TR20 8YX"
"Carnewas, Trenance, Cornwall, TR8, South West"
"Whitepark Road, Ballintoy, County Antrim, BT54 6LS"
"Derwent Reservoir, Blanchland, County Durham, DH8 9PE"
"Castletown, Caithness, KW14 8TG"
"Caton, Lancaster, Lancashire, LA2 9HF"
"Cawfields, Near Haltwhistle, Northumberland, NE49 9PJ"
"Acreman Street, Cerne Abbas, Dorset, DT2 7JX"
"Education Barn - Chambers Farm Wood, Market Rasen, Lincolnshire, LN8 5JR"
"Carn Brae, Penzance, Cornwall, TR19 6JD"
"Poundstock, Bude, Cornwall, EX23 0DQ"
"Chop Gate, Great Broughton, Cleveland, TS9 7JW"
"Clan Donald Centre, Armadale, Isle of Skye, IV45 8RS"
"Clatteringshaws House, Near New Galloway, Kirkcudbrightshire, DG7 3SQ"
"Great Broughton, Middlesbrough, Cleveland, TS9 7JA"
"Clearbrook, Plymouth, Devon, PL20 6JD"
"RSPB Geltsdale, Forest Head, Cumbria, CA8"
"Corsely, Warminster, Wiltshire, BA12 7QU"
"Whorlton, Northallerton, North Yorkshire, DL6 3AL"
"Nannerch, Denbigh, Clwyd, CH7 5RP"
"Pontrhydfendigaid, Ystrad Meurig, Dyfed, SY25 6ER"
"Colliford Lake, Bolventor, Cornwall, PL14 6PZ"
"Bodmin Moor, Bolventor, Cornwall, PL14 6PL"
"Colliford Lake, St Neot, Cornwall, PL14 6PX"
"Colliford Lake, St Neot, Cornwall, PL14 6PL"
"Combe, Hungerford, Berkshire, RG17 9EL"
"Holne, Hexworthy, Devon, PL20 6SE"
"Brocton, Rugeley, Staffordshire, ST17 0TN"
"Corgarff, Strathdon, Aberdeenshire, AB36 8YP"
"Ardgour Ferry Terminal, Fort William, Inverness-shire, PH33 7AA"
"Cothelston Road, Taunton, Somerset, TA5 1AY, South West England"
"County Gate, Oare, Somerset, TA24"
"Upper Teesdale, Langdon Beck, County Durham, DL12"
"Craig Y Nos Castle, Craig Y Nos, West Glamorgan, SA9 1GL"
"Beach Road, Cresswell, Northumberland, NE61 5LF"
"Low Road, Halton Green, Lancashire, LA2"
"Burway Road, Church Stretton, Shropshire, SY6"
"Tregoodwell, Camelford, Cornwall, PL32 9XJ"
"Crowlink Lane, East Dean, East Sussex, BN20 0AU, South East England"
"B5289 North of Buttermere, Cockermouth, Cumbria, CA13 9XA"
"Burleigh, Stroud, Gloucestershire, GL6 9AQ"
"Cwmtydu, Llandysul, Dyfed, SA44 6LQ"
"Dalby Forest, Thornton-le-Dale, North Yorkshire, YO18 7LT"
"Station Yard, Hawes, North Yorkshire, DL8 3NT"
"Lodge Lane, Danby, North Yorkshire, YO21 2NB"
"Port Mor, Isle of Gigha, PA41 7AA"
"Rue du Lorier, St Pierre du Bois, Channel Isles, GY7 9JU"
"Over Stowey, Taunton, Somerset, TA5, South West England"
"Dedham, Colchester, Essex, CO7 6DH"
"Endmundbuyers, Consett, County Durham, DH8 9TT"
"Devil's Dyke Road, Brighton, East Sussex, BN1 8YJ"
"Austhwaite Brow, Holmrook, Cumbria, CA19 1TJ"
"St Marys Road, Dinton, Wiltshire, SP3 5HH"
"Ditchling, Brighton, Sussex, BN6"
"Divis Road, Belfast, County Antrim, BT17 0NG"
"Abergwesyn, Ceredigion, Dyfed, SY25 6NR, Wales"
"St Margarets Drive, Dunfermline, Fife, KY12 7QL"
"Exmoor National Park, North of Exford, Somerset, TA24"
"Exmoor National Park, North West of Wheddon Cross, Somerset, TA24"
"Dunnabridge, Yelverton, Devon, PL20 6SA"
"Southerndown, Bridgend, Mid Glamorgan, CF32 0RP"
"Dunsten Steads, Embleton, Northumberland, NE66 3DT"
"Dunston Fen Lane, Lincoln, Lincolnshire, LN4 3AG"
"Durlston Country Park, Swanage, Dorset, BH19 2JL"
"Soar, Kingsbridge, Devon, TQ7 3DR"
"Elan Valley, Rhayader, Powys, LD6, Wales (multiple locations)"
"Near Tower Knowe Visitor Centre, Kielder Water, Northumberland, NE48 1BX"
"Elsdon, Otterburn, Tyne and Wear, NE19 1AA"
"Embleton, Alnwick, Northumberland, NE66 3XP"
"Ettrick, Selkirk, Selkirkshire, TD7 5HY"
"Chapel Street, Exford, Somerset, TA24 7PY"
"Chapel Street, Exford, Somerset, TA24 7PP, South West"
"Wellshead Lane, Exford, Somerset, TA24"
"Monks Horton, Folkestone, Kent, CT18 8DH"
"Filey, Scarborough, North Yorkshire, YO14 9ET"
"Fineshade, Corby, Northamptonshire, NN17 3BB"
"Firle Bostal, Lewes, East Sussex, BN8 6LR"
"East Bergholt, Colchester, Essex, CO7 6UL"
"Mynytho, Pwllheli, Gwynedd, LL53 7RT"
"Spread Eagle Hill, Shaftesbury, Dorset, SP7 0DT"
"Fort Island Road, Derbyhaven, Isle of Man, IM8 1AA"
"Exmoor National Park, West of Upton, Somerset, TA4"
"Aird Uig, Isle of Lewis, HS2 9JA"
"Garn Eiddel, Near Maerdy, Mid Glamorgan, CF43, Wales"
"Garn Fawr, Trefasser, Dyfed, SA64 OJJ, Wales"
"Hugh Town, Isles of Scilly, TR21, South West"
"Gatesgarth, Cockermouth, Cumbria, CA13 9XA, North West England"
"Cwmcerdenin, Near Garnswilt, Dyfed, SA18, Wales"
"Gisburn Forest, Near Tosside, Lancashire, BB7"
"Dylife, Llanbrynmair, Powys, SY20 8RE"
"Ballindalloch, Tomintoul, Banffshire, AB37 9EP"
"Lochinver, Sutherland, IV27 4LW"
"Glen Tanar, Aboyne, Aberdeenshire, AB34 5EU"
"Glen Wyllin, Kirk Michael, Isle of Man, IM6 1AW"
"Glenridding, Penrith, Cumbria, CA11 0NQ"
"Glenlivet, Ballindalloch, Banffshire, AB37 9DJ"
"Glentrool, Near Bargrennan, Wigtownshire, DG8 6SZ"
"Afan Forest Park, Glyncorrwg, West Glamorgan, SA13, Wales"
"Ynyscorrwg Park, Glyncorrwg, West Glamorgan, SA13 3EA"
"Off B3358, Simonsbath, Somerset, TA24 7LL"
"Goathland, Pickering, North Yorkshire, YO22 5NL"
"Goathland, Whitby, North Yorkshire, YO22 5LZ"
"Godolphin Cross, Helston, Cornwall, TR13 9RE"
"Gwithian, Hayle, Cornwall, TR27 5ED"
"Goonhilly Downs, Helston, Cornwall, TR12 6LQ"
"Ramsgill, Pateley Bridge, North Yorkshire, HG3 5AE"
"Grassholme, Barnard Castle, County Durham, DL12 0PW"
"Calbost, Grabhair, Isle of Lewis, HS2 9QX"
"Dikes Lane, Middlesbrough, Cleveland, TS9 6HN"
"Near Grinton, Richmond, North Yorkshire, DL11 6HS"
"Tregoodwell, Camelford, Cornwall, PL32 9XJ"
"268 Baring Road, London, London, SE12 0DS"
"Elan Valley, Rhayader, Powys, LD6 5HE"
"Winterbourne Bassett, Swindon, Wiltshire, SN4 9NR"
"King's Road, Exeter, Devon, EX6 7XR"
